Authors,Title,Year,Venue,Topic model,Supported task,Details of the supported task,Type of data,Document,Length of document,"Where ""length"" is mentioned",Parameter k,Parameter alpha,Parameter beta,Other parameters,Resolving negations,Correcting typos,Expanding contractions,Resolving synonyms,Splitting sentences or a document into n documents,Lemmatizing,Identifying n-grams,Lowercasing,Tokenizing,Splitting words,Stemming,Removing empty documents,Removing long paragraphs,Removing short documents,Removing extra white space,Removing non-informative content,"Removing words shorter than four, three or two letters",Removing least frequent terms,Removing most frequent terms,Removing code snippets,Removing HTML tags,Removing programming language keywords,Removing symbols and special characters,Removing punctuation,Removing stop words,Remove URL,Remove numbers,Topic naming approach,Topic naming procedure,Type of contribution,Other techniques combined,Outcome detail
"Yan, M; Zhang, X; Yang, D; Xu, L; Kymer, J D",A component recommender for bug reports using Discriminative Probability Latent Semantic Analysis,2016,IST,DPLSA-JS,Bug handling,Triaging/characterization [bugs],Issue/bug report,Text with a bug report,,Mention on results of study,{10-120 by 10},50/k,0.1,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,1,,,Automated,Predetermined labels,Approach; Comparison,,Technique
"Ying Fu, Meng Yan, Xiaohong Zhang, Ling Xu, Dan Yang, Jeffrey D. Kymer",Automated classification of software change messages by semi-supervised Latent Dirichlet Allocation,2015,IST,Semi-supervised LDA,Bug handling,Localization [concerns],Commit messages,Text with a change message,,,3,50/k,0.01,,,,,,1,,,,,1,1,,,,,1,,,,,,,,,1,,,Automated,Predetermined labels,Approach,,Technique (Semi-supervised LDA)
"Liu, Y; Liu, L; Liu, H; Wang, X; Yang, H",Mining domain knowledge from app descriptions,2017,JSS,O-LDA,Documentation,Localization [features],End user documentation,Text with an app description,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,Approach,Classification; Clustering,Technique
"Zhang, T; Chen, J; Yang, G; Lee, B; Luo, X",Towards more accurate severity prediction and fixer recommendation of software bugs,2016,JSS,LDA,Bug handling,Prediction [defects] & Bug-fix assignment,Issue/bug report,Text with a bug report,,,30,0.01,0.01,i = 1500,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,Approach; Comparison,Clustering,Automatic Technique
"Catolino, G; Palomba, F; Zaidman, A; Ferrucci, F","Not all bugs are the same: Understanding, characterizing, and classifying bug types",2019,JSS,LDA-GA,Bug handling,Triaging/characterization [bugs],Issue/bug report,Text with a bug report,,,,,,,,1,1,,,,,1,,1,1,,,,,,,,,,,1,1,,1,,,,,Approach,,Automated Technique
"Sun, X; Yang, H; Xia, X; Li, B",Enhancing developer recommendation with supplementary information via mining historical commits,2017,JSS,CTM,Bug handling,Bug-fix assignment,Source code and Commit messages,Text with a source code information (classes and methods) and text with commit messages of a developer,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,,Approach,,Technique (EDR_SI)
"Chen, H; Coogle, J; Damevski, K",Modeling stack overflow tags and topics as a hierarchy of concepts,2019,JSS,LLDA; L2H,Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Stack Overflow question,50 to 400 words,Mention on study design - evaluation of technique,3,10,1000,"γ1 = 0.9, γ2 = 0.1",,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,Automated,Predetermined labels,Exploration,,"• approach for applying the L2H model to organize Stack Overflow posts and tags into a hierarchical concept model;
• evaluation of the concept models for tag synonym prediction;
• examination of the concept model for predicting the tags of an unseen post;
• novel technique for evaluating the concept hierarchy based on entropy for its potential to focus or broaden retrieved document sets; and
• evaluation of the L2H model based on the novel entropy-based metrics."
"Taba, S E S; Keivanloo, I; Zou, Y; Wang, S",An exploratory study on the usage of common interface elements in android applications,2017,JSS,LDA (GS),Coding,Reuse [user interface templates],Source code,Text with strings and labels from a UI XML layout file,,,9,50/k,0.01,i = 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Predetermined labels,Exploration,,"""Through an empirical study on 1292 mobile applications, we observe that (i) CESs of mobile applications widely occur among and across different categories; (ii) certain characteristics of CESs can provide a high user-perceived quality; and (iii) through a manual analysis, we recommend UI templates that are extracted and summarized from CESs for developers. Developers and quality assurance personnel can use our guidelines to improve the quality of mobile applications."""
"Chen, T; Shang, W; Nagappan, M; Hassan, A E; Thomas, S W",Topic-based software defect explanation,2017,JSS,LDA (GS),Bug handling,Triaging/characterization [bugs],Source code,Text with source code (classes and methods) file of a software version,,,500,50/k,0.01,"gamma = 0.01, i = 10000",,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,Exploration,,"""We use a statistical topic modeling approach to approximate software concerns as topics (related words in source code). We propose various metrics using these topics to help explain the file defect-proneness. Case studies on mul- tiple versions of Firefox, Eclipse, Mylyn, and NetBeans show that (i) some topics are more defect-prone than others; (ii) defect-prone topics tend to remain so over time; (iii) our topic-based metrics provide additional explanatory power for software quality over existing structural and historical metrics; and (iv) our topic-based cohesion metric outperforms state-of-the-art topic-based cohesion and coupling metrics in terms of defect explanatory power, while being simpler to implement and more intuitive to interpret."""
"Silva, L L; Valente, M T; Maia, M A",Co-change patterns: A large scale empirical study,2019,JSS,LDA (GS),Maintenance,Maintenance [system modularity],Log information,Text with a log message,,,30,50/k,0.01,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,Exploration,,"""In this study, we aim to answer two central questions: (i) Are co-change patterns detected in different programming languages? (ii) How do different co-change patterns relate to rippling, activity density, ownership, and team diversity on clusters? We conclude that Encapsulated and Well-Confined clusters (Wrapped) implement well-defined and confined concerns. Octopus clusters are proportionally numerous regarding to other patterns. They relate significantly with ripple effect, activity, ownership, and diversity in development teams. Although Crosscutting are scattered over directories, they implement well-defined concerns. Despite they present higher activity compared to Wrapped clusters, it is not necessarily easy to get rid of them, suggesting that support tools may play a crucial role."""
"Nabli, H; Djemaa, R B; Amor, I A B",Efficient cloud service discovery approach based on LDA topic modeling,2018,JSS,LDA,Architecting,Architecture [cloud service selection],URL content,Text with a URL address,,,20,0.01,0.01,,,,,,,,,1,,,1,,,,,,,,,,,,1,1,1,,,,,Approach,Web crawling,Technique
"Altarawy, D; Shahin, H; Mohammed, A; Meng, N",Lascad: Language-agnostic software categorization and similar application detection,2018,JSS,LDA,Coding,Detection of similar funcionalities,Source code,Text with several methods identifiers; Text with several comments of a source code file,,,50,,,cat _ num = 20,,,,,,,,,,1,,,,,,,,1,1,,,1,,,1,,,,,Approach,Clustering (hierarchical),Tool (LASCAD)
"Yan, M; Fu, Y; Zhang, X; Yang, D; Xu, L; Kymer, J D",Automatically classifying software changes via discriminative topic model: Supporting multi-category and cross-project,2016,JSS,DPLSA,Maintenance,Maintenance [software changes],Commit messages,Text with a change message,,,3,50/k,0.01,i = 100,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,Automated,Predetermined labels,Approach,,Technique
"Poshyvanyk, D; Gethers, M.; Marcus, A",Concept location using formal concept analysis and information retrieval,2013,TOSEM,LSI,Documentation,Localization [features],Source code,Text with a class or method,,,"{10, 15, 20, 25}",0.05,,"number of documents = {80, 90, 100}",,,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,Approach; Comparison,,"Technique. ""The empirical study focuses on the analysis of various configurations of the generated concept lattices and the results indicate that our approach is effective in organizing different concepts and their relationships present in the subset ofthe search results. In consequence, the proposed concept location method has been shown to outperform a standalone Information Retrieval based concept location technique by reducing the number ofirrelevant search results across all the systems and lattice configurations evaluated, potentially reducing the programmers’ effort during software maintenance tasks involving concept location."""
"Moslehi, P; Adams, B; Rilling, J",A feature location approach for mapping application features extracted from crowd-based screencasts to source code,2020,EMSE,LDA (GS),Documentation,Documentation [extraction/augmenting],Transcript text from speech and Source code,Text of several source code path files; Text containing a screencast transcript,Screencast length: 1 to 10 minutes,Mention on results of study,"{55, 80, 130}",50/k,0.01,,,,,,,,,1,,1,1,,,,,,,,,,,,1,1,1,,1,,,Approach,,Automatic Technique
"Demissie, B F; Ceccato, M; Shar, L K",Security analysis of permission re-delegation vulnerabilities in Android apps,2020,EMSE,LDA (GS),Architecting,Detection of vulnerabilities,End user documentation,Text of app descriptions,,Mention on limitations of study,30,50/k,0.01,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Approach; Comparison,Clustering; Classification,Automated framework (Permission RE-delegation Vulnerability detection - PREV)
"Han, J; Shihab, E; Wan, Z; Deng, S; Xia, X",What do Programmers Discuss about Deep Learning Frameworks,2020,EMSE,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication and Commit messages,Text containing several pull requests and Text containing several Q&A posts,,,20,0.05,0.05,,,,,,,1,,,,,,,,,,,,,,1,1,,1,1,1,1,1,,,Exploration,,
"Blasco, D; Cetina, C; Pastor, O",A fine-grained requirement traceability evolutionary algorithm: Kromaia a commercial video game case study,2020,IST,LSI,Requirements,Localization [concerns],Source code,Text containing several methods,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,1,,,1,,,,,Approach; Comparison,Evolutionary algorithm,Technique (Code Fragment-based Requirement Location - CODFREL)
"Capiluppi, A; Ruscio, D D; Rocco, J D; Nguyen, P T; Ajienka, N",Detecting Java software similarities by using different clustering techniques,2020,IST,LDA,Maintenance,Maintenance [system usage/behavior],Source code,Text with several methods,,,,,,,,,,,,1,,,,1,1,,,,,,,,1,,,1,,,1,,,,,Exploration,,
"Cui, D; Liu, T; Cai, Y; Zheng, Q; Feng, Q; Jin, W; Guo, J; Qu, Y",Investigating The Impact Of Multiple Dependency Structures On Software Defects,2019,ICSE,RTM,Architecting,Detection of dependencies,Source code; Commit messages and Issue/bug report,Text with several identifiers; Text with several commit messages,,,75,0.1,1,eta =  1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,"""In summary, our work provides a new perspective regarding to which type(s) of relations should be used for the task of defect prediction/localization. These quantitative and qualitative results also advance our knowledge of the relationship between software quality and architectural views formed using different dependency types."""
"Chen, L; Hassan, F; Wang, X; Zhang, L",Taming Behavioral Backward Incompatibilities Via Cross-Project Testing And Analysis,2020,ICSE,LDA (GS),Coding,Detection of behavioral backward incompatibilities,Source code,Text with several classes from a project,,Mention on study design - technique description,10,5.5,0.01,"i = 10,000",,,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,Approach,Information extraction technique,Tool (DeBBI) [combine LDA and VSM]
"Zhao, N; Chen, J; Wang, Z; Peng, X; Wang, G; Wu, Y; Zhou, F; Feng, Z; Nie, X; Zhang, W; Sui, K; Pei, D",Real-time incident prediction for online service systems,2020,ESEC FSE,LDA,Bug handling,Prediction [defects],Log information,Text with several alert content from log messages,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,Approach,Classification,Technique (eWarn)
"Martin, W; Sarro, F; Harman, M",Causal impact analysis for app releases in google play,2016,ESEC FSE,LDA (GS),Maintenance,Maintenance [impact of new releases],End user documentation,Text with a release description,,Mention on study design - dataset description,100,50/k,0.1,"i = 2,000",,,,,,1,,1,,,,,,,,,,,,,,,,1,1,,,,,Approach,,Tool (Causal Impact Release Analysis - CIRA)
"Zhao, Y; Zhang, F; Shihab, E; Zou, Y; Hassan, A E",How Are Discussions Associated with Bug Reworking? An Empirical Study on Open Source Projects,2016,ESEM,LDA,Bug handling,Bug re-patching,Issue/bug report,Text with several comments of a bug report,,,50,0.1,0.1,"i = 1,000",,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,1,Manual,Authors' deduction based on word clusters,Exploration,,"""We find that the occurrence of bug reworking is associated with various perspectives of discussions.
Moreover, discussions on some topics (e.g., code inspection and code testing) can decrease the frequency of bug reworking."""
"Zaman, S; Adams, B; Hassan, A E",Security versus performance bugs: a case study on Firefox,2011,MSR,LDA,Bug handling,Triaging/characterization [bugs],Issue/bug report,Text with several comments of a bug report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,"""In this paper, we study how different types of bugs (performance and security bugs) differ from each other and from the rest of the bugs in a software project. Through a case study on the Firefox project, we find that security bugs are fixed and triaged much faster, but are reopened and tossed more frequently. Furthermore, we also find that security bugs involve more developers and impact more files in a project. Our work is the first work to ever empirically study performance bugs and compare it to frequently-studied security bugs. Our findings highlight the importance of considering the different types of bugs in software quality research and practice."""
"Ray, B; Posnett, D; Filkov, V; Devanbu, P",A large scale study of programming languages and code quality in github,2014,ESEC FSE,LDA,Coding,Exploring features affecting software quality,End user documentation,Text with several feature descriptions,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Authors' deduction based on word clusters,Exploration,,"""By triangulating findings from differ- ent methods, and controlling for confounding effects such as team size, project size, and project history, we report that language de- sign does have a significant, but modest effect on software quality. Most notably, it does appear that strong typing is modestly better than weak typing, and among functional languages, static typing is also somewhat better than dynamic typing. We also find that func- tional languages are somewhat better than procedural languages. It is worth noting that these modest effects arising from language de- sign are overwhelmingly dominated by the process factors such as project size, team size, and commit size. However, we hasten to caution the reader that even these modest effects might quite possi- bly be due to other, intangible process factors, e.g., the preference of certain personality types for functional, static and strongly typed languages."""
"Shimagaki, J; Kamei, Y; Ubayashi, N; Hindle, A",Automatic topic classification of test cases using text mining at an Android smartphone vendor,2018,ESEM,LDA,Testing,Test case assingment,End user documentation,Text with a feature description,,,"{20, 50, 100, 200}","{0.1, 1.0, 10.0}",,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,1,,,Approach,Classification,Automatic Technique
"Gopalakrishnan, R; Sharma, P; Mirakhorli, M; Galster, M",Can Latent Topics In Source Code Predict Missing Architectural Tactics?,2017,ICSE,LDA,Architecting,Architecture recovery,Developer documentation,Text with a tactical description and its related contextual information,,,"{50, 100, 150, 200}",,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,Approach,Classification,Technique
"Abdellatif, A; Costa, D; Badran, K; Abdalkareem, R; Shihab, E",Challenges in Chatbot Development: A Study of Stack Overflow Posts,2020,MSR,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Q&A question,,,12 {10-14 tested},50/k,0.01,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,Exploration,,
"Haque, M U; Iwaya, L H; Babar, M A",Challenges in Docker Development: A Large-scale Study Using Stack Overflow,2020,ESEM,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Q&A question and their accepted answers,,,30,50/k,0.01,"i = 1,000",,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,Manual,Authors' deduction based on word clusters,Exploration,,
"Gorla, A; Tavecchia, I; Gross, F; Zeller, A",Checking App Behavior Against App Descriptions,2014,ICSE,LDA (GS),Architecting,Detection of malicious behavior,End user documentation,Text with an app description,,,30,50/k,0.01,,,,,,,,,,,,1,,,1,,1,,,,,1,,1,1,1,1,1,Manual,Authors' deduction based on word clusters,Approach,Clustering,Technique (CHecking App Behavior Against Descrip- tions of Apps - CHABADA)
"Tiarks, R; Maalej, W",How does a typical tutorial for mobile development look like?,2014,MSR,LDA,Exploratory study,Exploring tutorials' structure,End user documentation,Text with several tutorials of an app,"3231 words
average",Mention on study design - dataset description,240 {50 for Android and Apple apps; 20 for Windows apps},,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,Manual,Authors' deduction based on word clusters,Exploration,,
"Zarif, O E; Costa, D A da; Hassan, S; Zou, Y",On the Relationship between User Churn and Software Issues,2020,MSR,LDA (GS),Exploratory study,Exploring user satisfaction,End user communication,Text containing several user reviews,,,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,Manual,Authors' deduction based on word clusters,Exploration,,"""Through our empirical study, we observe that (i) the intention to change software is tightly associated to the issues that are present in these software; (ii) we can predict the rate of potential churn using machine learning models; (iii) the longer the issue takes to be fixed, the higher the chances of user churn; and (iv) issues within more general software modules are more likely to be associated with user churn. Our study can provide more insights on the prioritization of issues that need to be fixed to proactively minimize the chances of user churn."""
"Gao, C; Zeng, J; Lyu, M R; King, I",Online App Review Analysis For Identifying Emerging Issues,2018,ICSE,AOLDA,Bug handling,Prediction [defects],End user communication,Text containing several user reviews,,Mention on study design - technique description,10,0.1,0.01,"w =3, λ =0.5, PMI = 5, μ =0.75",,1,,,,1,,1,,,1,,,,,1,,,1,,,,,,1,,,Automated,Predetermined labels,Approach,,Framework (IDentify Emerging App - IDEA)
"Palomba, F; Salza, P; Ciurumelea, A; Panichella, S; Gall, H; Ferrucci, F; De Lucia, A",Recommending and Localizing Change Requests For Mobile Apps Based On User Reviews,2017,ICSE,HDP,Maintenance,Maintenance [software changes],End user communication,Text containing several user reviews,,,,,,,,1,1,,,1,,,1,,1,,,1,,,1,,1,,,,,,1,,,,,Approach,,Technique (ChangeAdvisor)
"Wang, W; Malik, H; Godfrey, M W",Recommending posts concerning API issues in developer Q&A sites,2015,MSR,LDA (GS),Documentation,Documentation [extraction/augmenting],Developer communication,Text containing a Q&A post,,,40,0.01,0.01,i = 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approach,,Technique
"Noei, E; Costa, D A da; Zou, Y",Winning the app production rally,2018,ESEC FSE,LDA (GS),Exploratory study,Exploring user satisfaction,End user communication and End user documentation,Text containing an app description (and release notes); Text containing a user review,,,165,,,"i = 2,000",1,1,,1,1,,,,,,1,,,,,1,,,,,,,,,1,,,,,Exploration,,"""We explore 900 apps with a total of 4, 878, 011 user-reviews in 30 app development areas. We discover 13 clusters of rank trends. We observe that the majority of the subject apps (i.e., 61%) dropped in the rankings over the two years of our study. By applying a regression model, we find the variables that statistically significantly explain the rank trends, such as the number of releases. Moreover, we build a mixed effects model to study the changes in ranks across apps and various versions of each app. We find that not all the variables that common-wisdom would deem important have a significant relationship with ranks. Furthermore, app developers should not be afraid of a late entry into the market as new apps can achieve higher ranks than existing apps. Finally, we present the findings to 51 developers. According to the feedback, the findings can help app developers to achieve better ranks in Google Play Store."""
"Ali, N; Sharafi, Z; Gueheneuc, Y-G; Antoniol, G",An empirical study on the importance of source code entities for requirements traceability,2015,EMSE,LSI; LDA (GS),Requirements,Requirements recovery,Source code,Text containing several identifiers,,,50,,,,,,,,,,,1,,1,1,,,,,,,,,,,,1,1,1,,1,,,Approach,,Technique [used eye-tracking to understand developers' needs]
"Tairas, R; Gray, J",An information retrieval process to aid in the analysis of code clones,2009,EMSE,LSI,Maintenance,Detection of duplicates [code clones],Source code,Text with several classes from a directory,"All directories: 4,153 words (1,506; 1,035; 597; 670; 908)",Mention on study design - dataset description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,
"Mezouar, M E; Zhang, F; Zou, Y",Are tweets useful in the bug fixing process? An empirical study on Firefox and Chrome,2018,EMSE,LDA,Bug handling,Localization [concerns],Issue/bug report,Text with an issue description,,,200,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,Manual,Authors' deduction based on word clusters,Approach,,"Technique: ""First, we propose an approach to map bug-reporting tweets to bug reports. Second, we identify the types of bugs that are most critical to users. We find that end-users are more concerned about how well the systems work (e.g., performance or streaming quality), rather than the appearance of the systems (e.g., resolution or text appearance). Then, we study whether developers respond faster to the bugs that are associated with tweets. We find that the tweeted bugs do not get special attention from developers, suggesting that either there is no close monitoring of bug-reporting tweets or that tweets are not considered as a useful source of information."""
"De Lucia, A; Di Penta, M; Oliveto, R; Panichella, A
Panichella, Sebastiano",Labeling source code with information retrieval methods: An empirical study,2014,EMSE,LDA (GS); VSM; LSI,Documentation,Documentation [artifacts labelling],Source code,Text with a class and its comments; Text with comments of a class,,Mention on results of study,"{number of methods, number of methods/2, 2}",0.1,0.1,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,1,,,,,Comparison; Exploration,Information extraction technique,"""Results indicate that, in most cases, simpler automatic labeling techniques—based on the use of words extracted from class and method names as well as from class comments—better reflect human-based labeling. Indeed, clustering-based approaches (LSI and LDA) are more worthwhile to be used for source code artifacts having a high verbosity, as well as for artifacts requiring more effort to be manually labeled. The obtained results help to define guidelines on how to build effective automatic labeling techniques, and provide some insights on the actual usefulness of automatic labeling techniques during program comprehension tasks."""
"Thomas, S W; Nagappan, M; Blostein, D; Hassan, A E",The impact of classifier configuration and classifier combination on bug localization,2013,TSE,LDA (GS); VSM; LSI,Bug handling,Localization [bugs],Source code and Issue/bug report,Text with several bug report [titles]; Text with several bug report [descriptions]; Text with several bug report [titles and descriptions]; Text with several identifiers; Text with several comments; Text with several identifiers and related comments,,,"{32, 64, 128, 256}",50/k,0.01,,,,,,,,,,,1,1,,,,,,,,,,,1,,1,1,,,,,Approach; Comparison,Information extraction technique; Classification,Framework
"Fowkes, J; Chanthirasegaran, P; Ranca, R; Allamanis, M; Lapata, M; Sutton, C",Autofolding for source code summarization,2016,ICSE,TopicSum,Coding,Code summary,Source code,Text with several classes from a software,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,Approach; Comparison,Information extraction technique,Tool (TASSAL)
"Binkley, D; Lawrie, D; Uehlinger, C; Heinz, D.",Enabling improved IR-based feature location,2015,JSS,VSM; LSI; VSM-WS; QL-lin; QL-Dir; QL-LDA,Documentation,Localization [features],Source code,Text with a method,,,"{200, 100, 1,000, 400, 1,000}","{50/k, 1.0}","{0.01, 0.1}","(QL-Dir, QL-Lin) λ = 0.5, μ = 1,000 (QL-LDA) λ = 0.6, |S| = 3, μ = 0.5 OR α = 50/k and β = 0.01 OR α = 1.0 and β = 0.1; i = 1,000. k = {200; 100; 1,000; 400; 1,000}",,,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,Comparison; Exploration,Information extraction technique,"""Results find that models based on query-likelihood perform about twice as well as models in common use in software engineering such as LSI and thus deserve greater attention. Furthermore, corpus preprocessing has a significant impact as the top performing setting is over 100% better than the average."""
"Biggers, L R; Bocovich, C; Capshaw, R; Eddy, B P; Etzkorn, L H; Kraft, N A",Configuring latent Dirichlet allocation based feature location,2014,EMSE,LDA (GS),Documentation,Localization [features],Source code,Text with a method,,,"{300, 400, 500}",1,"{0.5, 0.25, 0.1}",,,,,,,,,1,1,1,,,,,,,1,,,,,1,,,1,,,,,Comparison; Exploration ,,"""1. Set K = 300 for small systems, set K = 400 for small–medium systems, and set large systems is based on prior experience with Eclipse andMozilla (Lukins et al. K = 500 for medium–large and large systems. Our recommendation regarding 2008, 2010). 2. Set α = 1.0 for all systems. 3. Set β for each system based on the value of K.Set β = 0.5 for small systems, and for larger systems, set β to be inversely proportional to K. For example, set β = 0.25 for small–medium systems, and set β = 0.1 for medium–large and large systems."" (...) ""Finally, we offer specific recommendations for configuring an LDA based FLT. Our recommendations are based on the results of the case study and on prior experience (Lukins et al. 2008, 2010)."""
"Hu, H; Bezemer, C P; Hassan, A E",Studying the consistency of star ratings and the complaints in 1 & 2-star user reviews for top free cross-platform Android and iOS apps,2018,EMSE,Twitter-LDA,Exploratory study,Exploring user satisfaction,End user communication,Text with a user review,,Mention on results of study,10,,,"i = 1,000",,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,,Exploration,,"""Our findings show that cross-platform apps are far from achieving consistent star ratings
and user reviews across platforms. Consistency in star ratings and user reviews is far more complex than delivering the same high quality top apps. Developers must be aware that users of different platforms have different priorities and expectations. Hence, the main implication of our results is that while developers are treating cross-platform apps as separate projects already in many cases, as shown in Joorabchi et al.’s study (Joorabchi et al. 2013), they should consider adjusting development priorities and requirements to the differing desires of the users of each platform for which their app is available."""
"Hindle, A; Alipour, A; Stroulia, E",A contextual approach towards more accurate duplicate bug report detection and ranking,2016,EMSE,LDA; LLDA,Bug handling,Detection of duplicates [bugs],Issue/bug report,Text with an issue report,,Mention on study design - evaluation of technique,20,0.1,0.1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,Mixed,Predetermined labels,Approach,,Technique
"Luo, Q; Moran, K; Poshyvanyk, D",A large-scale empirical comparison of static and dynamic test case prioritization techniques,2016,ESEC FSE,LDA,Testing,Prioritization [test cases],Source code,Text with a test case,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,Comparison; Exploration,Tools for TCP (call-graph-based; string-distance-based; greedy techniques; adaptative random testing; search-based techniques),"""In this work, we perform an extensive study empirically comparing the effectiveness, efficiency, and similarity of detected faults for static and dynamic TCP techniques on 30 real Java programs. The experiments were conducted at both test-method and test-class levels to understand the impact of different test granularities on the effectiveness of TCP techniques. The results indicate that the studied static techniques tend to outperform the studied dynamic techniques at the test-class level, whereas dynamic techniques tend to outperform the static techniques at test-method level. Additionally, we found that the faults uncovered by static and dynamic techniques for the highest prioritized test cases uncover mostly dissimilar faults, which suggests several promising avenues for future work. Finally, we found evidence suggesting that different TCP techniques tend to perform differently on different subject programs, which suggests that certain program characteristics may be important when considering which type of TCP technique to use."""
"Noei, E; Heydarnoori, A",EXAF: A search engine for sample applications of object-oriented framework-provided concepts,2016,IST,LSI,Documentation,Localization [features],Developer communication,Text with several Q&A posts (question and answers),,,300,,,similarity threshold = 0.7,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,Approach,,Framework (EXample Applications Finder - EXAF)
"Pérez, F; Lapeña, R; Font, J; Cetina, C",Fragment retrieval on models for model maintenance: Applying a multi-objective perspective to an industrial case study,2018,IST,LSI,Documentation,Documentation [traceability to source code],Issue/bug report; End user documentation and Developer documentation,Text with several feature descriptions; Text with several requirements; Text with several bug reports,,,300,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Approach,Multi-Objective Evolutionary Algorithms,Technique (Fragment Retrieval on Models - FROM)
"Rosenberg, C M; Moonen, L",Improving problem identification via automated log clustering using dimensionality reduction,2018,ESEM,LSI; Principal Component Analysis (PCA); Non-Negative Matrix Factorization (NMF) [dimensionality reduction techniques],Maintenance,Maintenance [continuous deployment],Log information,Text with several log messages,,,,,,similarity threshold = 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comparison; Exploration,Information extraction technique,"Our study shows that (1) identifying problems in con- tinuous deployment logs via clustering is feasible, (2) including NMF significantly improves overall accuracy and robustness, and (3) Complete Linkage performs best of all merge criteria analyzed."
"Rao, S; Kak, A",Retrieval from software libraries for bug localization: a comparative study of generic and composite text models,2011,MSR,MLE-LDA; LDA; UM; VSM; LSA; CBDM,Bug handling,Localization [bugs],Source code and Issue/bug report,Text with several classes,,,"LDA, MLE: 150; CBDM: {100, 250, 500, 1,000}","LDA, MLE: {0.000667, 0.006667, 0.033333, 0.333333}","LDA, MLE: 0.01","UM: λ = 0.5; CBDM: λ1 = {0.25, 0.15, 0.81, 0.27, 0.495, 0.05}, λ2 = {0.25, 0.35, 0.09, 0.63, 0.495, 0.05}, λ3 = {0.5, 0.5, 0.1, 0.1, 0.01, 0.99}",,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,Comparison; Exploration,Information extraction technique; Clustering,"IR based bug localization techniques are at least as effective as the static and the dynamic bug localization tools developed in the past.
Sophisticated models like LDA, LSA, and CBDM do not outperform simpler models like Unigram or VSM for IR based bug localization for large software systems. An analysis of the spread of the word distributions over the source files with the help of measures such as tf and idf can give useful insights into the usability of topic and cluster based models for bug localization."
"Silva, B; Sant’Anna, C; Rocha, N; Chavez, C",The effect of automatic concern mapping strategies on conceptual cohesion measurement,2016,IST,LDA,Bug handling,Localization [concerns],Source code,Text with several classes,,,Rhino: 40; jEdit: 69,Rhino: 2.5; jEdit: 1.4,0.1,threshold = 0.1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,Comparison; Exploration,Xscan [tool]: Static dependency analysis and Textual analysis of code similarities.,"Conceptual cohesion measurements over the two analyzed mapping strategies performed weakly in the ability of selecting the least cohesive modules. We then provide a discussion to explain the reasons. Concern mapping strategies should be carefully chosen for conceptual cohesion measurement, specially if automatic mapping is under consideration. Manual mapping is still the most reliable way for computing conceptual cohesion. We pointed out limitations in automatic mapping strategies that go beyond conceptual cohesion measurement purposes and which should be considered in future research or applications in industry."
